name;division;age;nationality;maç sayısı;rounds;nakavt oranı;height;reach;stance;career;yenme;yenilgi;berabere;nakavt_etme;nakavt_edilme
Mourad Omar;heavy;30;Egypt;15;46;63.64%;6′ 4½″   /   194cm;;orthodox;"debut
        2017-10-21";11;3;0;7 KOs;1 KOs
Michael Cserenyi;heavy;34;USA;1;4;0%;6′ 1″   /   185cm;;southpaw;"debut
        2024-08-20";1;0;0;0 KOs;0 KOs
Serhii Sheludko;heavy;27;Ukraine;7;20;50%;6′ 8″   /   203cm;;orthodox;"debut
        2023-09-02";6;1;0;3 KOs;0 KOs
Devon Young;heavy;26;USA;5;9;80%;;;;"debut
        2021-09-04";5;0;0;4 KOs;0 KOs
Osasu Otobo;heavy;23;Germany;13;39;45.45%;;;;"debut
        2023-08-27";11;1;1;5 KOs;1 KOs
Ed Fountain;heavy;35;USA;22;102;50%;6′ 1″   /   185cm;;southpaw;"debut
        2012-05-25";14;8;0;7 KOs;3 KOs
Walter Burns;heavy;42;USA;10;23;75%;5′ 11″   /   180cm;;orthodox;"debut
        2009-03-20";8;2;0;6 KOs;2 KOs
Mario Heredia;heavy;31;Mexico;28;78;83.33%;5′ 10″   /   178cm;;orthodox;"debut
        2012-02-25";18;8;1;15 KOs;7 KOs
Marcos Antonio Aumada;heavy;37;Argentina;39;139;80%;6′ 4½″   /   194cm;;southpaw;"debut
        2011-09-09";25;14;0;20 KOs;9 KOs
Peter Naylor;heavy;39;United Kingdom;7;29;14.29%;;;orthodox;"debut
        2022-07-30";7;0;0;1 KOs;0 KOs
Mike Lehnis;heavy;36;Germany;7;18;57.14%;6′ 3″   /   190cm;;;"debut
        2022-05-07";7;0;0;4 KOs;0 KOs
Alexis Garcia;heavy;34;Dominican Republic;14;54;58.33%;6′ 1″   /   185cm;;;"debut
        2016-10-02";12;2;0;7 KOs;2 KOs
Rudy Silvas;heavy;31;USA;10;44;0%;6′ 2″   /   188cm;;southpaw;"debut
        2019-02-23";7;1;1;0 KOs;0 KOs
Devin Vargas;heavy;42;USA;33;149;40.91%;6′ 3½″   /   192cm;75½″   /   192cm;orthodox;"debut
        2004-11-26";22;11;0;9 KOs;8 KOs
Christian Demaj;heavy;33;Albania;11;56;28.57%;6′ 1½″   /   187cm;;;"debut
        2019-12-21";7;4;0;2 KOs;2 KOs
Colton Warner;heavy;33;USA;10;26;62.5%;6′ 5″   /   196cm;;southpaw;"debut
        2020-01-17";8;2;0;5 KOs;0 KOs
Mertay Kahveci;heavy;28;Germany;8;20;85.71%;;;;"debut
        2018-03-24";7;1;0;6 KOs;0 KOs
Majkel Wartalski;heavy;30;Poland;6;12;83.33%;5′ 11½″   /   181cm;;orthodox;"debut
        2021-05-29";6;0;0;5 KOs;0 KOs
Robert Hall Jr;heavy;32;USA;17;66;78.57%;6′ 3″   /   191cm;;orthodox;"debut
        2013-09-07";14;3;0;11 KOs;1 KOs
Arlo Stephens;heavy;28;United Kingdom;2;5;50%;;;;"debut
        2024-04-20";2;0;0;1 KOs;0 KOs
Vladyslav Serdiuk;heavy;22;Ukraine;2;5;50%;;;;"debut
        2024-06-14";2;0;0;1 KOs;0 KOs
Matty Harris;heavy;24;United Kingdom;8;19;71.43%;6′ 8″   /   203cm;;orthodox;"debut
        2021-11-25";7;1;0;5 KOs;1 KOs
Milorad Gajovic;heavy;50;Montenegro;6;10;83.33%;;;orthodox;"debut
        2009-06-20";6;0;0;5 KOs;0 KOs
Morris Okolla Alfayo;heavy;42;Kenya;17;65;76.92%;;;southpaw;"debut
        2011-11-06";13;4;0;10 KOs;3 KOs
Moses Johnson;heavy;32;USA;16;47;72.73%;6′ 2″   /   188cm;77″   /   196cm;orthodox;"debut
        2018-03-09";11;3;2;8 KOs;3 KOs
Pryce Taylor;heavy;28;USA;4;10;50%;6′ 4″   /   193cm;;orthodox;"debut
        2023-12-01";4;0;0;2 KOs;0 KOs
Fabio Kaciu;heavy;27;Albania;6;7;100%;;;;"debut
        2024-05-05";6;0;0;6 KOs;0 KOs
Sasa Milenkovic;heavy;42;;11;24;100%;6′ 1″   /   186cm;;;"debut
        2022-04-16";10;1;0;10 KOs;1 KOs
Calito Cumic;heavy;23;Germany;6;14;66.67%;6′ 4½″   /   194cm;;;"debut
        2023-12-16";6;0;0;4 KOs;0 KOs
Gianmarco Cardillo;heavy;35;Italy;15;93;16.67%;;;orthodox;"debut
        2015-08-02";12;1;2;2 KOs;0 KOs
Ilja Mezencev;heavy;29;Germany;30;93;84%;;;orthodox;"debut
        2013-07-06";25;4;0;21 KOs;3 KOs
Emanuele Venturelli;heavy;34;Italy;9;49;14.29%;6′ 4½″   /   194cm;;orthodox;"debut
        2018-12-01";7;1;1;1 KOs;0 KOs
Luis Jose Marin Garcia;heavy;38;Venezuela;23;102;66.67%;6′ 1″   /   185cm;75″   /   190cm;orthodox;"debut
        2017-09-16";15;8;0;10 KOs;4 KOs
Jorge Sevilla Acosta;heavy;26;Mexico;14;63;60%;;;;"debut
        2019-03-22";5;7;2;3 KOs;1 KOs
Diarga Balde;heavy;28;Senegal;5;19;50%;;;orthodox;"debut
        2023-02-25";2;1;2;1 KOs;1 KOs
Erick Arellano;heavy;20;USA;12;36;70%;6′ 1″   /   185cm;;orthodox;"debut
        2023-02-07";10;0;2;7 KOs;0 KOs
Cristian Cardenas;heavy;;Panama;1;4;0%;;;;"debut
        2024-01-20";1;0;0;0 KOs;0 KOs
Detrailous Webster;heavy;36;USA;12;56;50%;6′ 0″   /   183cm;73″   /   185cm;;"debut
        2020-01-25";8;4;0;4 KOs;1 KOs
Joe Ageli;heavy;32;New Zealand;6;20;66.67%;;;;"debut
        2020-02-29";3;3;0;2 KOs;0 KOs
Mike Tyson;heavy;58;USA;59;223;88%;5′ 10″   /   178cm;71″   /   180cm;orthodox;"debut
        1985-03-06";50;7;0;44 KOs;5 KOs
Onoriode Ehwarieme;heavy;36;Nigeria;25;61;95%;6′ 7″   /   201cm;;orthodox;"debut
        2010-12-05";20;5;0;19 KOs;5 KOs
Daryll Hall;heavy;39;United Kingdom;6;16;50%;;;southpaw;"debut
        2018-08-18";6;0;0;3 KOs;0 KOs
Terrell Jamal Woods;heavy;35;USA;102;477;72.41%;6′ 4″   /   193cm;;orthodox;"debut
        2011-09-17";29;62;10;21 KOs;7 KOs
Jason Beauchhamp;heavy;37;USA;7;12;100%;6′ 4″   /   193cm;;orthodox;"debut
        2016-11-18";6;1;0;6 KOs;1 KOs
Jonathan Exequiel Vergara;heavy;27;Argentina;8;28;50%;;;;"debut
        2022-07-23";6;2;0;3 KOs;2 KOs
Yosko Stoychev;heavy;30;Bulgaria;16;52;73.33%;;;orthodox;"debut
        2016-03-20";15;1;0;11 KOs;1 KOs
Brandon Colantonio;heavy;28;Canada;6;28;0%;6′ 4″   /   193cm;;;"debut
        2022-10-29";5;1;0;0 KOs;0 KOs
Mika Mielonen;heavy;43;Finland;9;25;85.71%;6′ 3″   /   190cm;;orthodox;"debut
        2021-06-05";7;2;0;6 KOs;2 KOs
Dennis Lewandowski;heavy;30;Germany;25;128;47.37%;6′ 2″   /   188cm;;orthodox;"debut
        2014-11-08";19;6;0;9 KOs;1 KOs
Edi Delibaltaoglu;heavy;39;Germany;18;42;100%;6′ 1″   /   185cm;;;"debut
        2015-10-10";11;7;0;11 KOs;4 KOs
Ayaovi Agbonson;heavy;47;Togo;9;30;100%;;;orthodox;"debut
        2017-10-27";6;2;1;6 KOs;2 KOs
Gora Niang;heavy;30;Senegal;5;19;100%;;;orthodox;"debut
        2023-03-31";4;0;1;4 KOs;0 KOs
Donald Haynesworth;heavy;42;USA;28;87;88.89%;6′ 3″   /   191cm;76″   /   193cm;orthodox;"debut
        2014-08-23";18;9;1;16 KOs;6 KOs
Patrick Korte;heavy;40;Germany;27;72;81.82%;6′ 3″   /   190cm;;;"debut
        2015-05-15";22;4;1;18 KOs;4 KOs
Liam Messam;heavy;40;New Zealand;8;30;14.29%;6′ 3″   /   190cm;75½″   /   192cm;;"debut
        2015-01-31";7;0;1;1 KOs;0 KOs
Jung Soo Kim;heavy;21;South Korea;8;37;80%;5′ 11″   /   180cm;;orthodox;"debut
        2021-03-27";5;3;0;4 KOs;1 KOs
Cristofer Bernal Ramirez;heavy;20;Mexico;3;9;66.67%;;;;"debut
        2023-12-22";3;0;0;2 KOs;0 KOs
Bayardo Garcia;heavy;39;USA;3;9;50%;6′ 4″   /   193cm;;orthodox;"debut
        2023-09-08";2;0;1;1 KOs;0 KOs
Ivan D'Adamo;heavy;44;Italy;14;79;70%;6′ 4½″   /   194cm;;orthodox;"debut
        2017-07-21";10;3;1;7 KOs;2 KOs
Daniel Bulabula;heavy;35;Germany;7;22;57.14%;;;;"debut
        2018-07-07";7;0;0;4 KOs;0 KOs
Travorus Barnes;heavy;28;USA;7;21;83.33%;6′ 0″   /   183cm;;;"debut
        2021-05-14";6;1;0;5 KOs;0 KOs
Ariel Esteban Bracamonte;heavy;31;Argentina;24;118;53.85%;6′ 3½″   /   192cm;;orthodox;"debut
        2017-03-03";13;11;0;7 KOs;7 KOs
Christopher Alan Jones;heavy;38;USA;7;15;66.67%;6′ 1″   /   185cm;;orthodox;"debut
        2010-11-13";6;0;0;4 KOs;0 KOs
Haruna Osumanu;heavy;44;Ghana;18;79;66.67%;;;orthodox;"debut
        2017-04-29";15;3;0;10 KOs;3 KOs
Arsene Fosso;heavy;41;Australia;10;35;60%;6′ 3″   /   190cm;;;"debut
        2019-04-05";5;5;0;3 KOs;3 KOs
Haze Hepi;heavy;34;Australia;10;28;100%;6′ 2½″   /   189cm;80½″   /   205cm;orthodox;"debut
        2012-04-20";7;2;1;7 KOs;1 KOs
Vaclav Pejsar;heavy;40;Czech Republic;42;206;78.26%;6′ 1½″   /   187cm;76″   /   193cm;orthodox;"debut
        2014-10-31";23;19;0;18 KOs;5 KOs
Isaac Ekpo;heavy;42;Nigeria;39;222;78.79%;5′ 11½″   /   182cm;;;"debut
        2005-04-16";33;6;0;26 KOs;4 KOs
Jorge Alejandro Arias;heavy;30;Argentina;22;86;53.33%;;;orthodox;"debut
        2016-08-19";15;5;2;8 KOs;5 KOs
Ronald Baca;heavy;38;USA;19;83;33.33%;6′ 1″   /   185cm;;orthodox;"debut
        2014-03-21";9;4;5;3 KOs;1 KOs
Awadh Tamim;heavy;40;Tanzania;28;107;68.75%;6′ 0½″   /   184cm;;orthodox;"debut
        2003-06-12";16;10;0;11 KOs;8 KOs
Carlos Cardenas;heavy;32;Mexico;6;19;75%;;;;"debut
        2022-09-03";4;2;0;3 KOs;2 KOs
Sergio Uribe Castro;heavy;36;;6;9;100%;;;;"debut
        2021-12-04";5;1;0;5 KOs;0 KOs
Jonathan Lee Rice;heavy;27;USA;8;34;60%;6′ 3″   /   191cm;;orthodox;"debut
        2021-11-20";5;3;0;3 KOs;0 KOs
Marco Kenny Viscarra;heavy;34;Bolivia;6;25;60%;;;orthodox;"debut
        2020-10-30";5;1;0;3 KOs;0 KOs
Franklin Ignatius;heavy;29;United Kingdom;8;40;16.67%;6′ 3″   /   190cm;;orthodox;"debut
        2019-12-19";6;1;1;1 KOs;1 KOs
Carlos Castillo Rodriguez;heavy;28;Cuba;5;21;60%;;;;"debut
        2023-02-25";5;0;0;3 KOs;0 KOs
Steve Robinson;heavy;34;United Kingdom;9;35;66.67%;6′ 7″   /   201cm;;orthodox;"debut
        2019-09-28";6;3;0;4 KOs;1 KOs
Thomas Matlon;heavy;35;USA;6;10;75%;6′ 2″   /   188cm;;orthodox;"debut
        2021-06-05";4;2;0;3 KOs;2 KOs
John Maila;heavy;34;Australia;8;25;83.33%;6′ 1½″   /   187cm;;orthodox;"debut
        2022-03-12";6;2;0;5 KOs;1 KOs
Anees Taj;heavy;28;United Kingdom;15;59;50%;6′ 0″   /   183cm;;orthodox;"debut
        2019-11-29";10;5;0;5 KOs;2 KOs
Gustav Thorsen;heavy;30;Denmark;4;11;75%;;;orthodox;"debut
        2023-09-23";4;0;0;3 KOs;0 KOs
Ricky Torrez;heavy;45;Bolivia;39;116;70%;5′ 11½″   /   182cm;;orthodox;"debut
        2003-10-24";30;8;1;21 KOs;8 KOs
Ali Kiydin;heavy;33;Germany;22;64;93.75%;5′ 11½″   /   182cm;;orthodox;"debut
        2017-03-31";16;6;0;15 KOs;4 KOs
Quintin Sumpter;heavy;36;USA;10;36;57.14%;6′ 0″   /   183cm;;orthodox;"debut
        2021-08-28";7;3;0;4 KOs;2 KOs
Tamas Polster;heavy;44;Hungary;38;118;61.54%;6′ 0″   /   183cm;;orthodox;"debut
        2007-07-13";26;11;1;16 KOs;9 KOs
Dominique Valera;heavy;33;USA;9;33;42.86%;6′ 0″   /   183cm;;orthodox;"debut
        2020-08-22";7;0;2;3 KOs;0 KOs
Mussa Ajibu;heavy;38;Malawi;57;180;80.65%;;;orthodox;"debut
        2005-01-09";31;21;5;25 KOs;14 KOs
Tae Kwang Kim;heavy;31;South Korea;5;8;100%;6′ 3″   /   190cm;74″   /   188cm;orthodox;"debut
        2023-07-15";5;0;0;5 KOs;0 KOs
Adam Kolarik;heavy;31;Czech Republic;15;66;100%;;;orthodox;"debut
        2020-06-27";7;8;0;7 KOs;4 KOs
Dmitry Ivanov;heavy;42;Russia;14;25;100%;6′ 3″   /   190cm;;;"debut
        2007-10-25";11;2;1;11 KOs;1 KOs
Donnie Palmer;heavy;40;USA;17;55;83.33%;6′ 10″   /   208cm;;orthodox;"debut
        2012-07-21";12;4;1;10 KOs;2 KOs
Bobby Harris III;heavy;29;USA;7;21;50%;;;;"debut
        2017-06-10";6;0;1;3 KOs;0 KOs
Willie Jake Jr;heavy;41;USA;19;84;27.27%;6′ 2″   /   188cm;75″   /   191cm;southpaw;"debut
        2015-11-28";11;6;2;3 KOs;5 KOs
Volodymyr Katsuk;heavy;36;Ukraine;6;22;40%;;;;"debut
        2019-03-23";5;1;0;2 KOs;0 KOs
Paul Zalus;heavy;44;USA;8;14;100%;6′ 3″   /   191cm;;orthodox;"debut
        2009-04-17";5;3;0;5 KOs;3 KOs
Colby Madison;heavy;41;USA;20;77;63.64%;6′ 3″   /   191cm;;orthodox;"debut
        2016-04-09";11;7;2;7 KOs;4 KOs
Emrullah Kaya;heavy;27;Germany;7;18;66.67%;;;;"debut
        2017-02-05";6;1;0;4 KOs;1 KOs
Cesar Torres Hernandez;heavy;22;Mexico;5;13;75%;;;;"debut
        2023-08-19";4;1;0;3 KOs;0 KOs
James Singh;heavy;29;Fiji;19;51;91.67%;6′ 0″   /   183cm;;orthodox;"debut
        2018-04-14";12;5;0;11 KOs;5 KOs
Marvin Mendoza;heavy;18;Panama;6;24;0%;;;;"debut
        2024-01-20";4;1;1;0 KOs;0 KOs
Jose Kadima;heavy;;Democratic Republic Of The Congo;4;8;75%;;;;"debut
        2023-05-26";4;0;0;3 KOs;0 KOs
Luis Pascual;heavy;32;Mexico;30;94;89.47%;6′ 1½″   /   187cm;71½″   /   182cm;orthodox;"debut
        2012-03-29";19;11;0;17 KOs;4 KOs
Ruann Visser;heavy;34;South Africa;24;81;92.86%;6′ 9½″   /   207cm;;orthodox;"debut
        2014-07-24";14;3;0;13 KOs;0 KOs
Yernar Yeshenov;heavy;29;Kazakhstan;8;21;83.33%;;;southpaw;"debut
        2016-03-05";6;2;0;5 KOs;1 KOs
Robinson Perez;heavy;31;USA;4;18;0%;5′ 11″   /   180cm;71″   /   180cm;;"debut
        2023-07-22";2;2;0;0 KOs;0 KOs
Jardae Anderson;heavy;31;USA;6;15;80%;6′ 4″   /   193cm;;orthodox;"debut
        2023-02-25";5;1;0;4 KOs;1 KOs
Marcin Rekowski;heavy;46;Poland;25;113;84.21%;6′ 2½″   /   189cm;76″   /   193cm;orthodox;"debut
        2012-05-18";19;6;0;16 KOs;4 KOs
Milan Hlavac;heavy;37;Czech Republic;3;12;0%;;;;"debut
        2024-02-17";1;2;0;0 KOs;0 KOs
Daniel Bean;heavy;32;USA;6;18;50%;6′ 0″   /   183cm;;orthodox;"debut
        2023-04-14";4;2;0;2 KOs;0 KOs
Jay McFarlane;heavy;26;United Kingdom;24;115;37.5%;6′ 3″   /   191cm;73″   /   185cm;orthodox;"debut
        2016-12-18";16;8;0;6 KOs;2 KOs
Joel Caudle;heavy;34;USA;21;95;66.67%;5′ 10″   /   178cm;74″   /   188cm;orthodox;"debut
        2015-07-25";9;9;2;6 KOs;3 KOs
Austin Benson;heavy;35;USA;5;11;80%;6′ 2″   /   188cm;;orthodox;"debut
        2023-06-16";5;0;0;4 KOs;0 KOs
Josue Vargas;heavy;31;USA;15;56;40%;6′ 0″   /   183cm;;orthodox;"debut
        2021-10-02";5;8;2;2 KOs;1 KOs
Orkhan Abdiyev;heavy;40;Azerbaijan;3;3;100%;;;;"debut
        2021-09-02";3;0;0;3 KOs;0 KOs
Juan Torres;heavy;38;USA;19;84;36.36%;6′ 1″   /   185cm;73½″   /   187cm;southpaw;"debut
        2018-02-17";11;7;1;4 KOs;2 KOs
Isaac Kali Meehan;heavy;24;Australia;4;7;100%;;;orthodox;"debut
        2022-11-05";3;0;1;3 KOs;0 KOs
Michael Seko;heavy;;Australia;7;27;50%;;;;"debut
        2022-07-03";2;3;2;1 KOs;0 KOs
Vladislav Vishev;heavy;28;Russia;10;42;28.57%;6′ 8½″   /   204cm;;orthodox;"debut
        2017-05-08";7;3;0;2 KOs;2 KOs
Charly Masiya Mbuyi;heavy;31;France;8;30;75%;;;;"debut
        2020-01-25";4;4;0;3 KOs;2 KOs
Hassan Ahmed;heavy;;Egypt;6;22;100%;;;orthodox;"debut
        2022-09-18";4;2;0;4 KOs;1 KOs
Lemir Isom Riley;heavy;28;USA;9;33;50%;5′ 10″   /   178cm;;orthodox;"debut
        2021-11-13";4;4;0;2 KOs;2 KOs
Renke Wittke;heavy;30;Germany;4;7;100%;;;;"debut
        2024-04-27";4;0;0;4 KOs;0 KOs
Jacek Galazka;heavy;43;Poland;3;9;66.67%;6′ 3″   /   190cm;77″   /   195cm;orthodox;"debut
        2023-05-13";3;0;0;2 KOs;0 KOs
Denis Gubarev;heavy;25;Russia;6;28;50%;6′ 5″   /   196cm;;orthodox;"debut
        2020-06-25";4;2;0;2 KOs;0 KOs
Nikolas Charalampous;heavy;31;New Zealand;30;148;45.45%;5′ 11″   /   180cm;72½″   /   184cm;orthodox;"debut
        2013-06-28";22;6;2;10 KOs;1 KOs
Mateus Munhoz Matias Da Penha;heavy;28;Brazil;8;32;33.33%;6′ 3½″   /   192cm;79½″   /   202cm;orthodox;"debut
        2022-08-20";6;1;1;2 KOs;1 KOs
Julio Mendoza;heavy;39;USA;7;20;66.67%;5′ 9″   /   175cm;;orthodox;"debut
        2017-08-05";3;4;0;2 KOs;1 KOs
Akhmed Gadaborshev;heavy;29;Kazakhstan;4;15;25%;;;;"debut
        2019-12-28";4;0;0;1 KOs;0 KOs
Suthat Kalalek;heavy;29;Thailand;38;181;75%;5′ 7″   /   170cm;;orthodox;"debut
        2012-12-03";24;14;0;18 KOs;10 KOs
Rio Hidaka;heavy;43;Japan;14;52;81.82%;5′ 10½″   /   179cm;;orthodox;"debut
        2006-08-31";11;3;0;9 KOs;0 KOs
Anil Can Yildiz;heavy;25;Germany;15;35;92.31%;5′ 11½″   /   182cm;;;"debut
        2020-10-17";13;2;0;12 KOs;2 KOs
Pedro Martinez;heavy;40;Venezuela;16;60;53.85%;6′ 1″   /   186cm;;orthodox;"debut
        2015-07-12";13;3;0;7 KOs;2 KOs
Piotr Cwik;heavy;41;Poland;8;11;100%;5′ 10½″   /   179cm;;orthodox;"debut
        2024-05-05";7;1;0;7 KOs;0 KOs
Herve Silu Mata;heavy;;Australia;7;22;66.67%;;;;"debut
        2019-11-16";3;3;1;2 KOs;2 KOs
Joseph Turk;heavy;41;USA;8;27;33.33%;6′ 3″   /   191cm;;orthodox;"debut
        2022-01-29";6;1;1;2 KOs;0 KOs
Ivan Balaz;heavy;28;Slovakia;4;12;50%;;;;"debut
        2023-04-02";4;0;0;2 KOs;0 KOs
Guilherme Uriel Da Silva Costa;heavy;27;Brazil;1;6;0%;6′ 1″   /   185cm;73½″   /   187cm;orthodox;"debut
        2024-09-21";1;0;0;0 KOs;0 KOs
Pablo Oscar Natalio Farias;heavy;36;Argentina;42;209;54.55%;5′ 9″   /   175cm;;orthodox;"debut
        2008-02-29";33;8;1;18 KOs;6 KOs
Juan Roux;heavy;;South Africa;8;52;33.33%;;;;"debut
        2019-11-13";6;2;0;2 KOs;0 KOs
Volkan Saka;heavy;26;Turkiye;2;5;100%;;;;"debut
        2024-06-02";2;0;0;2 KOs;0 KOs
Sergiej Werwejko;heavy;36;Poland;17;67;63.64%;6′ 5″   /   196cm;75″   /   191cm;orthodox;"debut
        2016-02-20";11;6;0;7 KOs;5 KOs
Eugen Buchmueller;heavy;44;Germany;31;89;78.26%;;;;"debut
        2015-12-20";23;7;1;18 KOs;5 KOs
Craig Lewis;heavy;40;USA;25;113;53.33%;6′ 5″   /   196cm;;orthodox;"debut
        2014-08-15";15;8;1;8 KOs;2 KOs
Pavel Doroshilov;heavy;30;Russia;9;44;20%;6′ 5″   /   195cm;;southpaw;"debut
        2014-08-09";5;4;0;1 KOs;1 KOs
Vercell Webster;heavy;31;USA;9;32;100%;;;;"debut
        2019-01-12";2;6;1;2 KOs;1 KOs
Courtney Bennett;heavy;28;United Kingdom;6;25;40%;6′ 5″   /   196cm;;orthodox;"debut
        2022-12-02";5;1;0;2 KOs;1 KOs
;;;;;;;;;;;;;;;
Fabio Maldonado;heavy;44;Brazil;40;125;96.67%;6′ 0″   /   183cm;75″   /   190cm;orthodox;"debut
        2002-04-23";30;10;0;29 KOs;5 KOs
Jon Bolden;heavy;45;USA;25;122;70%;6′ 4″   /   193cm;;orthodox;"debut
        2009-12-04";10;14;1;7 KOs;1 KOs
Brandon Johnson;heavy;34;USA;19;46;60%;6′ 0″   /   183cm;;orthodox;"debut
        2015-02-28";15;4;0;9 KOs;2 KOs
Hudson Muhumuza;heavy;44;Uganda;15;50;87.5%;;;orthodox;"debut
        2012-04-08";8;6;1;7 KOs;1 KOs
Ramiz Hadziaganovic;heavy;39;Bosnia And Herzegovina;12;31;80%;;;;"debut
        2008-04-05";10;2;0;8 KOs;2 KOs
Jamaar Collins;heavy;23;USA;2;2;100%;6′ 4″   /   193cm;;orthodox;"debut
        2024-08-03";2;0;0;2 KOs;0 KOs
Edward Hood;heavy;30;USA;7;21;80%;6′ 0″   /   183cm;;;"debut
        2017-07-01";5;2;0;4 KOs;0 KOs
Guerkan Basak;heavy;32;Germany;6;21;100%;;;;"debut
        2014-04-26";1;4;1;1 KOs;0 KOs
Harvey Dykes;heavy;28;United Kingdom;4;20;0%;6′ 0½″   /   184cm;;;"debut
        2023-11-10";4;0;0;0 KOs;0 KOs
Michael Koko;heavy;;Australia;5;9;100%;;;orthodox;"debut
        2021-12-11";2;3;0;2 KOs;3 KOs
Nathan Bedwell;heavy;32;USA;30;116;87.5%;6′ 1″   /   185cm;;southpaw;"debut
        2010-03-19";8;21;1;7 KOs;10 KOs
Will Howe;heavy;22;United Kingdom;4;16;0%;;;;"debut
        2023-07-01";4;0;0;0 KOs;0 KOs
Dan Garber;heavy;39;United Kingdom;10;36;28.57%;6′ 5″   /   196cm;;southpaw;"debut
        2017-12-15";7;3;0;2 KOs;2 KOs
Emanuel Odiase;heavy;;Germany;5;14;80%;6′ 8″   /   203cm;;;"debut
        2023-10-28";5;0;0;4 KOs;0 KOs
Dominik Musil;heavy;33;Czech Republic;14;50;62.5%;;;;"debut
        2018-03-04";8;6;0;5 KOs;3 KOs
Reyes Diaz;heavy;40;USA;9;23;100%;6′ 1″   /   185cm;;orthodox;"debut
        2012-12-15";6;3;0;6 KOs;2 KOs
Jesus Antonio Collazo;heavy;29;Uruguay;2;5;0%;;;orthodox;"debut
        2024-05-17";1;1;0;0 KOs;1 KOs
Sung Jin Kwak;heavy;46;South Korea;12;40;87.5%;5′ 11″   /   180cm;;southpaw;"debut
        2018-09-01";8;4;0;7 KOs;3 KOs
Matthew McKinney;heavy;43;USA;28;72;76.47%;6′ 4″   /   193cm;78″   /   198cm;orthodox;"debut
        2013-10-03";17;8;3;13 KOs;7 KOs
Dhcamad Armstrong;heavy;;New Zealand;2;8;0%;;;;"debut
        2023-12-09";0;1;1;0 KOs;0 KOs
Harry Armstrong;heavy;31;United Kingdom;9;47;0%;6′ 6″   /   198cm;;orthodox;"debut
        2020-03-07";6;2;1;0 KOs;1 KOs
Abdul Ghafour Esmaili;heavy;47;Germany;14;30;92.31%;6′ 0½″   /   184cm;;;"debut
        2012-11-24";13;1;0;12 KOs;1 KOs
Joshua Pretorius;heavy;31;South Africa;18;102;55.56%;;;;"debut
        2017-05-26";9;8;1;5 KOs;3 KOs
Robert Parrish;heavy;27;USA;2;9;100%;6′ 5″   /   196cm;66″   /   168cm;orthodox;"debut
        2022-06-11";1;1;0;1 KOs;0 KOs
Srdan Govedarica;heavy;35;Bosnia And Herzegovina;22;62;81.82%;6′ 6½″   /   200cm;;orthodox;"debut
        2015-03-28";11;11;0;9 KOs;8 KOs
Alonso Cisneros;heavy;23;Mexico;4;12;33.33%;;;orthodox;"debut
        2022-05-14";3;0;1;1 KOs;0 KOs
David Trallero;heavy;40;Spain;5;15;50%;5′ 11½″   /   181cm;;orthodox;"debut
        2017-09-16";4;0;1;2 KOs;0 KOs
Jeanclaude Ba;heavy;34;USA;4;13;25%;6′ 0″   /   183cm;;;"debut
        2023-05-13";4;0;0;1 KOs;0 KOs
Michal Boloz;heavy;35;Poland;15;57;100%;6′ 5″   /   196cm;78½″   /   200cm;orthodox;"debut
        2017-11-24";5;8;2;5 KOs;4 KOs
Brayden Ion;heavy;;Australia;3;8;66.67%;;;;"debut
        2023-05-27";3;0;0;2 KOs;0 KOs
Helaman Olguin;heavy;40;USA;17;71;44.44%;6′ 3″   /   191cm;76½″   /   194cm;southpaw;"debut
        2008-07-16";9;7;1;4 KOs;3 KOs
Miguel Cubos;heavy;35;Mexico;41;167;78.57%;;;;"debut
        2008-02-16";14;26;1;11 KOs;15 KOs
Colton Hill;heavy;28;USA;6;22;40%;6′ 0″   /   183cm;;orthodox;"debut
        2019-12-11";5;1;0;2 KOs;1 KOs
Jeremiah Tupai-Ui;heavy;;Australia;2;8;0%;5′ 11″   /   180cm;;;"debut
        2024-07-25";2;0;0;0 KOs;0 KOs
Lewis Williams;heavy;25;United Kingdom;1;2;100%;6′ 7″   /   201cm;;orthodox;"debut
        2024-11-02";1;0;0;1 KOs;0 KOs
David Andres Romero;heavy;29;Spain;2;10;0%;;;;"debut
        2023-12-22";2;0;0;0 KOs;0 KOs
Rafael Abdala Sanchez Rojas;heavy;44;Mexico;11;39;50%;;;;"debut
        2017-05-13";8;3;0;4 KOs;2 KOs
Brian Houston;heavy;43;USA;8;18;80%;;;;"debut
        2012-02-18";5;2;1;4 KOs;2 KOs
Veni Mafi;heavy;;New Zealand;3;9;50%;;;;"debut
        2024-05-18";2;1;0;1 KOs;1 KOs
Andrzej Wawrzyk;heavy;37;Poland;38;190;58.82%;6′ 5″   /   195cm;79″   /   201cm;orthodox;"debut
        2006-11-18";34;4;0;20 KOs;3 KOs
Simon Ibekwe;heavy;28;United Kingdom;4;16;50%;;;;"debut
        2023-06-23";4;0;0;2 KOs;0 KOs
Jozsef Darmos;heavy;39;Hungary;24;117;71.43%;6′ 1½″   /   187cm;;orthodox;"debut
        2015-09-19";14;7;3;10 KOs;5 KOs
David Padovan;heavy;;Australia;3;4;100%;;;;"debut
        2022-10-29";3;0;0;3 KOs;0 KOs
Soo Ho Hong;heavy;32;South Korea;6;25;25%;6′ 0″   /   183cm;71″   /   180cm;orthodox;"debut
        2018-10-07";4;2;0;1 KOs;1 KOs
