name;division;age;nationality;maç sayısı;rounds;nakavt oranı;height;reach;stance;career;yenme;yenilgi;berabere;nakavt_etme;nakavt_edilme
Joey Dawejko;heavy;34;USA;45;224;57.14%;5′ 10″   /   178cm;70″   /   178cm;orthodox;"debut
        2009-09-26";28;13;4;16 KOs;4 KOs
Michael Essomba;heavy;32;Belgium;9;18;88.89%;;;;"debut
        2021-04-03";9;0;0;8 KOs;0 KOs
Marcin Brzeski;heavy;35;Poland;10;23;80%;6′ 2″   /   188cm;;;"debut
        2013-02-16";10;0;0;8 KOs;0 KOs
Jack Mulowayi;heavy;37;Belgium;19;79;73.33%;6′ 4″   /   193cm;78″   /   198cm;orthodox;"debut
        2015-11-11";15;3;1;11 KOs;1 KOs
Troy Pilcher;heavy;30;Australia;11;36;77.78%;;;;"debut
        2022-02-26";9;1;1;7 KOs;1 KOs
Lukas Fajk;heavy;28;Czech Republic;11;45;70%;6′ 1½″   /   187cm;;;"debut
        2021-09-11";10;1;0;7 KOs;0 KOs
Davide Brito;heavy;27;Italy;6;34;50%;6′ 5″   /   195cm;;orthodox;"debut
        2023-09-15";6;0;0;3 KOs;0 KOs
Jesus Escalera;heavy;44;Puerto Rico;24;59;100%;6′ 0″   /   183cm;;southpaw;"debut
        2022-10-14";23;1;0;23 KOs;1 KOs
Oleksandr Hrytsiv;heavy;25;Ukraine;8;28;75%;;;;"debut
        2020-12-13";8;0;0;6 KOs;0 KOs
Sanel Hasanovic;heavy;25;Serbia;10;41;87.5%;6′ 8½″   /   204cm;;;"debut
        2018-09-15";8;1;1;7 KOs;0 KOs
Dajuan Calloway;heavy;32;USA;13;41;80%;6′ 3″   /   191cm;;orthodox;"debut
        2021-04-24";10;3;0;8 KOs;1 KOs
Hussein Muhamed;heavy;33;Germany;20;71;77.78%;6′ 5″   /   196cm;;;"debut
        2014-12-14";18;1;0;14 KOs;1 KOs
Antonio Carlesimo;heavy;28;Italy;7;18;100%;;;;"debut
        2022-02-20";7;0;0;7 KOs;0 KOs
Joshua Juarez;heavy;27;USA;12;45;58.33%;6′ 1″   /   185cm;77″   /   196cm;orthodox;"debut
        2016-05-21";12;0;0;7 KOs;0 KOs
Zachary Spiller;heavy;31;USA;5;15;80%;6′ 4″   /   193cm;;southpaw;"debut
        2022-03-25";5;0;0;4 KOs;0 KOs
Giovanni Cristian Scuderi;heavy;30;Italy;11;40;45.45%;6′ 6″   /   198cm;;orthodox;"debut
        2018-09-29";11;0;0;5 KOs;0 KOs
Moses Jolly;heavy;28;United Kingdom;9;27;66.67%;;;;"debut
        2022-05-28";9;0;0;6 KOs;0 KOs
Uila Mau'u;heavy;32;New Zealand;8;19;87.5%;;;;"debut
        2023-03-03";8;0;0;7 KOs;0 KOs
Ede Omoregie;heavy;31;United Kingdom;9;14;100%;;;;"debut
        2023-08-28";9;0;0;9 KOs;0 KOs
Fernely Feliz Jr;heavy;28;USA;8;29;75%;6′ 2″   /   188cm;80½″   /   204cm;orthodox;"debut
        2021-11-20";8;0;0;6 KOs;0 KOs
Jeamie Tshikeva;heavy;31;United Kingdom;8;34;57.14%;6′ 4″   /   193cm;;orthodox;"debut
        2022-03-26";7;1;0;4 KOs;1 KOs
